Alfred the Great,871,26 October 899
Edward the Elder,26 October 899,17 July 924
Ælfweard,July 924,3 August 924
Æthelstan,924,27 October 939
Edmund I,28 October 939,26 May 946
Eadred,27 May 946,23 November 955
Eadwig,24 November 955,1 October 959
Edgar the Peaceful,2 October 959,8 July 975
Edward the Martyr,9 July 975,18 March 978
Æthelred the Unready,19 March 978,1013 (first reign)
Sweyn Forkbeard,25 December 1013,3 February 1014
Æthelred the Unready,3 February 1014,23 April 1016
Edmund Ironside,24 April 1016,30 November 1016
Cnut the Great,18 October 1016,12 November 1035
Harold Harefoot,13 November 1035,17 March 1040
Harthacnut,17 March 1040,8 June 1042
Edward the Confessor,9 June 1042,5 January 1066
Harold Godwinson,6 January 1066,14 October 1066
Edgar the Ætheling,15 October 1066,17 December 1066
William I,25 December 1066,9 September 1087
William II,9 September 1087,2 August 1100
Henry I,2 August 1100,1 December 1135
Stephen,22 December 1135,25 October 1154
Matilda,7 April 1141,1 November 1141
Henry II,25 October 1154,6 July 1189
Richard I,6 July 1189,6 April 1199
John,6 April 1199,19 October 1216
Louis,1216,22 September 1217
Henry III,19 October 1216,16 November 1272
Edward I,16 November 1272,7 July 1307
Edward II,7 July 1307,25 January 1327
Edward III,25 January 1327,21 June 1377
Richard II,21 June 1377,29 September 1399
Henry IV,30 September 1399,20 March 1413
Henry V,20 March 1413,31 August 1422
Henry VI,31 August 1422,4 March 1461
Edward IV,4 March 1461,3 October 1470
Henry VI,3 October 1470,11 April 1471
Edward IV,11 April 1471,9 April 1483
Edward V,9 April 1483,25 June 1483
Richard III,26 June 1483,22 August 1485
Henry VII,22 August 1485,21 April 1509
Henry VIII,21 April 1509,28 January 1547
Edward VI,28 January 1547,6 July 1553
Jane,10 July 1553,19 July 1553
Mary I,19 July 1553,17 November 1558
Philip,25 July 1554,17 November 1558
Elizabeth I,17 November 1558,24 March 1603
James I,24 March 1603,27 March 1625
Charles I,27 March 1625,30 January 1649
Oliver Cromwell,16 December 1653,3 September 1658
Richard Cromwell,3 September 1658,7 May 1659
Charles II,29 May 1660,6 February 1685
James II,6 February 1685,23 December 1688 (deposed)
Mary II,13 February 1689,28 December 1694
William III,13 February 1689,8 March 1702
Anne,8 March 1702,1 May 1707
